"","rownames(datExpr)","affy_hg_u133a","ensembl_gene_id","entrezgene_id","external_gene_name","hgnc_symbol","mirbase_id","chromosome_name","start_position","end_position","gene_biotype"
"3436","200004_at","200004_at","ENSG00000110321",1982,"EIF4G2","EIF4G2","","11",10797050,10808940,"protein_coding"
"2039","200005_at","200005_at","ENSG00000100353",8664,"EIF3D","EIF3D","","22",36510855,36529184,"protein_coding"
"1952","200006_at","200006_at","ENSG00000116288",11315,"PARK7","PARK7","","1",7954291,7985505,"protein_coding"
"1628","200007_at","200007_at","ENSG00000140319",6727,"SRP14","SRP14","","15",40035690,40039181,"protein_coding"
"1720","200008_s_at","200008_s_at","ENSG00000057608",2665,"GDI2","GDI2","","10",5765223,5842132,"protein_coding"
"1719","200009_at","200009_at","ENSG00000057608",2665,"GDI2","GDI2","","10",5765223,5842132,"protein_coding"
"4051","200010_at","200010_at","ENSG00000142676",6135,"RPL11","RPL11","","1",23691742,23696835,"protein_coding"
"3176","200011_s_at","200011_s_at","ENSG00000134287",377,"ARF3","ARF3","","12",48935723,48957487,"protein_coding"
"639","200012_x_at","200012_x_at","ENSG00000207051",619499,"SNORA27","SNORA27","","13",27255401,27255526,"snoRNA"
"2140","200013_at","200013_at","ENSG00000181524",NA,"RPL24P4","RPL24P4","","6",42956345,42956765,"processed_pseudogene"
"2906","200014_s_at","200014_s_at","ENSG00000204253",NA,"HNRNPCP2","HNRNPCP2","","2",189923336,189924216,"processed_pseudogene"
"3278","200015_s_at","200015_s_at","ENSG00000168385",4735,"SEPTIN2","SEPTIN2","","2",241315100,241354027,"protein_coding"
"614","200016_x_at","200016_x_at","ENSG00000215492",NA,"HNRNPA1P7","HNRNPA1P7","","18",32412214,32413176,"processed_pseudogene"
"2092","200017_at","200017_at","ENSG00000224631",NA,"RPS27AP16","RPS27AP16","","16",61055399,61055964,"transcribed_processed_pseudogene"
"2342","200018_at","200018_at","ENSG00000228929",NA,"RPS13P2","RPS13P2","","1",52772194,52772648,"processed_pseudogene"
"5122","200019_s_at","200019_s_at","ENSG00000149806",2197,"FAU","FAU","","11",65120630,65122177,"protein_coding"
"5116","200020_at","200020_at","ENSG00000120948",23435,"TARDBP","TARDBP","","1",11012344,11030528,"protein_coding"
"3718","200021_at","200021_at","ENSG00000172757",1072,"CFL1","CFL1","","11",65823022,65862026,"protein_coding"
"3033","200022_at","200022_at","ENSG00000063177",6141,"RPL18","RPL18","","19",48615328,48619184,"protein_coding"
"3438","200023_s_at","200023_s_at","ENSG00000175390",8665,"EIF3F","EIF3F","","11",7970251,8001862,"protein_coding"
"1679","200024_at","200024_at","ENSG00000083845",NA,"RPS5","RPS5","","19",58386400,58394806,"protein_coding"
"3889","200025_s_at","200025_s_at","ENSG00000131469",6155,"RPL27","RPL27","","17",42998273,43002959,"protein_coding"
"3788","200026_at","200026_at","ENSG00000109475",6164,"RPL34","RPL34","","4",108620569,108630412,"protein_coding"
"827","200027_at","200027_at","ENSG00000134440",4677,"NARS1","NARS1","","18",57600656,57622213,"protein_coding"
"4903","200028_s_at","200028_s_at","ENSG00000084090",56910,"STARD7","STARD7","","2",96184859,96208827,"protein_coding"
"4615","200029_at","200029_at","ENSG00000108298",6143,"RPL19","RPL19","","17",39200283,39204840,"protein_coding"
"4656","200030_s_at","200030_s_at","ENSG00000075415",5250,"SLC25A3","SLC25A3","","12",98593591,98606379,"protein_coding"
"3114","200031_s_at","200031_s_at","ENSG00000142534",6205,"RPS11","RPS11","","19",49496365,49499708,"protein_coding"
"18","200032_s_at","200032_s_at","ENSG00000273673",NA,"","","","CHR_HSCHR15_5_CTG8",82451282,82451992,"transcribed_processed_pseudogene"
"4569","200033_at","200033_at","ENSG00000284564",NA,"MIR3064","MIR3064","hsa-mir-3064","17",64500774,64500839,"miRNA"
"1589","200034_s_at","200034_s_at","ENSG00000235552",NA,"RPL6P27","RPL6P27","","18",6462144,6463030,"transcribed_processed_pseudogene"
"687","200035_at","200035_at","ENSG00000288307",NA,"CTDNEP1","CTDNEP1","","CHR_HG2087_PATCH",7243591,7252491,"protein_coding"
"2208","200036_s_at","200036_s_at","ENSG00000226360",NA,"RPL10AP6","RPL10AP6","","3",61742455,61743106,"processed_pseudogene"
"3550","200037_s_at","200037_s_at","ENSG00000122565",11335,"CBX3","CBX3","","7",26201162,26213607,"protein_coding"
"726","200038_s_at","200038_s_at","ENSG00000215472",100526842,"RPL17-C18orf32","RPL17-C18orf32","","18",49481681,49492479,"protein_coding"
"2166","200039_s_at","200039_s_at","ENSG00000126067",5690,"PSMB2","PSMB2","","1",35599541,35641526,"protein_coding"
"5074","200040_at","200040_at","ENSG00000121774",10657,"KHDRBS1","KHDRBS1","","1",32013868,32060850,"protein_coding"
"130","200041_s_at","200041_s_at","ENSG00000254899",NA,"","","","CHR_HSCHR6_MHC_SSTO_CTG1",31520968,31537331,"protein_coding"
"778","200042_at","200042_at","ENSG00000100220",51493,"RTCB","RTCB","","22",32387582,32412248,"protein_coding"
"3709","200043_at","200043_at","ENSG00000100632",2079,"ERH","ERH","","14",69380128,69398299,"protein_coding"
"3158","200044_at","200044_at","ENSG00000111786",NA,"SRSF9","SRSF9","","12",120461672,120469748,"protein_coding"
"173","200045_at","200045_at","ENSG00000225989",23,"ABCF1","ABCF1","","CHR_HSCHR6_MHC_SSTO_CTG1",30563598,30589402,"protein_coding"
"1192","200046_at","200046_at","ENSG00000129562",NA,"DAD1","DAD1","","14",22564907,22589224,"protein_coding"
"994","200047_s_at","200047_s_at","ENSG00000100811",7528,"YY1","YY1","","14",100238298,100282788,"protein_coding"
"4567","200048_s_at","200048_s_at","ENSG00000143543",10899,"JTB","JTB","","1",153974269,153977674,"protein_coding"
"3840","200049_at","200049_at","ENSG00000136504",11143,"KAT7","KAT7","","17",49788648,49835026,"protein_coding"
"3676","200050_at","200050_at","ENSG00000167635",7705,"ZNF146","ZNF146","","19",36214602,36238771,"protein_coding"
"2876","200051_at","200051_at","ENSG00000175467",9092,"SART1","SART1","","11",65961728,65980137,"protein_coding"
"3276","200052_s_at","200052_s_at","ENSG00000143621",NA,"ILF2","ILF2","","1",153661788,153671028,"protein_coding"
"5348","200053_at","200053_at","ENSG00000091640",9552,"SPAG7","SPAG7","","17",4959226,4967817,"protein_coding"
"4317","200054_at","200054_at","ENSG00000109917",8882,"ZPR1","ZPR1","","11",116773799,116788039,"protein_coding"
"3929","200055_at","200055_at","ENSG00000285338",NA,"","","","11",6610883,6616594,"lncRNA"
"4145","200056_s_at","200056_s_at","ENSG00000231245",NA,"C1DP1","C1DP1","","10",32511336,32511737,"processed_pseudogene"
"1530","200057_s_at","200057_s_at","ENSG00000147140",4841,"NONO","NONO","","X",71254814,71301522,"protein_coding"
"2242","200058_s_at","200058_s_at","ENSG00000144028",23020,"SNRNP200","SNRNP200","","2",96274338,96321271,"protein_coding"
"4638","200059_s_at","200059_s_at","ENSG00000067560",387,"RHOA","RHOA","","3",49359139,49412998,"protein_coding"
"1275","200060_s_at","200060_s_at","ENSG00000250896",NA,"RNPS1P1","RNPS1P1","","4",11371975,11372892,"processed_pseudogene"
"1030","200061_s_at","200061_s_at","ENSG00000138326",6229,"RPS24","RPS24","","10",78033760,78056813,"protein_coding"
"1343","200062_s_at","200062_s_at","ENSG00000156482",6156,"RPL30","RPL30","","8",98024851,98046469,"protein_coding"
"1209","200063_s_at","200063_s_at","ENSG00000213881",NA,"NPM1P6","NPM1P6","","8",61202350,61203220,"processed_pseudogene"
"1148","200064_at","200064_at","ENSG00000096384",3326,"HSP90AB1","HSP90AB1","","6",44246166,44253888,"protein_coding"
"4784","200065_s_at","200065_s_at","ENSG00000143761",375,"ARF1","ARF1","","1",228082660,228099212,"protein_coding"
"4284","200066_at","200066_at","ENSG00000113141",NA,"IK","IK","","5",140647058,140662480,"protein_coding"
"1430","200067_x_at","200067_x_at","ENSG00000112335",8724,"SNX3","SNX3","","6",108211222,108261246,"protein_coding"
"550","200068_s_at","200068_s_at","ENSG00000283777",821,"CANX","CANX","","CHR_HG30_PATCH",179679612,179732514,"protein_coding"
"3528","200069_at","200069_at","ENSG00000075856",9733,"SART3","SART3","","12",108522214,108561400,"protein_coding"
"3790","200070_at","200070_at","ENSG00000115649",27013,"CNPPD1","CNPPD1","","2",219171897,219178106,"protein_coding"
"2469","200071_at","200071_at","ENSG00000119953",10285,"SMNDC1","SMNDC1","","10",110290730,110304938,"protein_coding"
"3011","200072_s_at","200072_s_at","ENSG00000099783",4670,"HNRNPM","HNRNPM","","19",8444767,8489114,"protein_coding"
"1731","200073_s_at","200073_s_at","ENSG00000138668",3184,"HNRNPD","HNRNPD","","4",82352498,82374503,"protein_coding"
"1309","200074_s_at","200074_s_at","ENSG00000139239",NA,"RPL14P1","RPL14P1","","12",62965325,62965969,"processed_pseudogene"
"4904","200075_s_at","200075_s_at","ENSG00000143774",2987,"GUK1","GUK1","","1",228139962,228148984,"protein_coding"
"4198","200076_s_at","200076_s_at","ENSG00000105700",79036,"KXD1","KXD1","","19",18557762,18569387,"protein_coding"
"999","200077_s_at","200077_s_at","ENSG00000104904",4946,"OAZ1","OAZ1","","19",2269509,2273490,"protein_coding"
"4711","200078_s_at","200078_s_at","ENSG00000117410",533,"ATP6V0B","ATP6V0B","","1",43974487,43978295,"protein_coding"
"3062","200079_s_at","200079_s_at","ENSG00000065427",3735,"KARS1","KARS1","","16",75627474,75648643,"protein_coding"
"3907","200080_s_at","200080_s_at","ENSG00000178458",NA,"H3P16","H3P16","","4",139698144,139698554,"processed_pseudogene"
"4046","200081_s_at","200081_s_at","ENSG00000232176",NA,"","","","9",19200335,19201046,"processed_pseudogene"
"49","200082_s_at","200082_s_at","ENSG00000282052",NA,"RPS7P11","RPS7P11","","CHR_HSCHR17_2_CTG5",46550508,46551093,"processed_pseudogene"
"1614","200083_at","200083_at","ENSG00000124422",23326,"USP22","USP22","","17",20999596,21043760,"protein_coding"
"905","200084_at","200084_at","ENSG00000259137",NA,"","","","14",44120210,44120761,"processed_pseudogene"
"4659","200085_s_at","200085_s_at","ENSG00000103363",6923,"ELOB","ELOB","","16",2771414,2777289,"protein_coding"
"4964","200086_s_at","200086_s_at","ENSG00000131143",1327,"COX4I1","COX4I1","","16",85798633,85807068,"protein_coding"
"3452","200087_s_at","200087_s_at","ENSG00000086598",10959,"TMED2","TMED2","","12",123584533,123598582,"protein_coding"
"674","200088_x_at","200088_x_at","ENSG00000185834",NA,"RPL12P4","RPL12P4","","20",55074644,55075140,"processed_pseudogene"
"11","200089_s_at","200089_s_at","ENSG00000263127",NA,"RPL4P5","RPL4P5","","CHR_HSCHR9_1_CTG1",7491857,7493132,"processed_pseudogene"
"2388","200090_at","200090_at","ENSG00000168522",2339,"FNTA","FNTA","","8",43034194,43085788,"protein_coding"
"311","200091_s_at","200091_s_at","ENSG00000280831",NA,"RPS25","RPS25","","CHR_HG2217_PATCH",119015712,119018691,"protein_coding"
"4486","200092_s_at","200092_s_at","ENSG00000145592",6167,"RPL37","RPL37","","5",40825262,40835222,"protein_coding"
"2977","200093_s_at","200093_s_at","ENSG00000169567",3094,"HINT1","HINT1","","5",131155383,131224468,"protein_coding"
"4484","200094_s_at","200094_s_at","ENSG00000167658",1938,"EEF2","EEF2","","19",3976056,3985463,"protein_coding"
"916","200095_x_at","200095_x_at","ENSG00000270800",100529239,"RPS10-NUDT3","RPS10-NUDT3","","6",34284887,34426071,"protein_coding"
"4301","200096_s_at","200096_s_at","ENSG00000113732",8992,"ATP6V0E1","ATP6V0E1","","5",172983771,173035445,"protein_coding"
"2129","200097_s_at","200097_s_at","ENSG00000165119",3190,"HNRNPK","HNRNPK","","9",83968083,83980616,"protein_coding"
"2198","200098_s_at","200098_s_at","ENSG00000089053",51433,"ANAPC5","ANAPC5","","12",121308245,121399896,"protein_coding"
"1020","200099_s_at","200099_s_at","ENSG00000178429",NA,"RPS3AP5","RPS3AP5","","10",84560443,84561263,"processed_pseudogene"
"5518","200593_s_at","200593_s_at","ENSG00000153187",3192,"HNRNPU","HNRNPU","","1",244840638,244864560,"protein_coding"
"5517","200594_x_at","200594_x_at","ENSG00000153187",3192,"HNRNPU","HNRNPU","","1",244840638,244864560,"protein_coding"
"1204","200595_s_at","200595_s_at","ENSG00000107581",8661,"EIF3A","EIF3A","","10",119033670,119080823,"protein_coding"
"1203","200596_s_at","200596_s_at","ENSG00000107581",8661,"EIF3A","EIF3A","","10",119033670,119080823,"protein_coding"
"1205","200597_at","200597_at","ENSG00000107581",8661,"EIF3A","EIF3A","","10",119033670,119080823,"protein_coding"
"4384","200598_s_at","200598_s_at","ENSG00000166598",7184,"HSP90B1","HSP90B1","","12",103930107,103953931,"protein_coding"
"4385","200599_s_at","200599_s_at","ENSG00000166598",7184,"HSP90B1","HSP90B1","","12",103930107,103953931,"protein_coding"
"1524","200600_at","200600_at","ENSG00000147065",4478,"MSN","MSN","","X",65588377,65741931,"protein_coding"
"492","200601_at","200601_at","ENSG00000282844",81,"ACTN4","ACTN4","","CHR_HG26_PATCH",38647649,38731589,"protein_coding"
"518","200602_at","200602_at","ENSG00000142192",351,"APP","APP","","21",25880550,26171128,"protein_coding"
"5205","200603_at","200603_at","ENSG00000108946",5573,"PRKAR1A","PRKAR1A","","17",68511780,68551319,"protein_coding"
"5204","200604_s_at","200604_s_at","ENSG00000108946",5573,"PRKAR1A","PRKAR1A","","17",68511780,68551319,"protein_coding"
"5206","200605_s_at","200605_s_at","ENSG00000108946",5573,"PRKAR1A","PRKAR1A","","17",68511780,68551319,"protein_coding"
"3551","200606_at","200606_at","ENSG00000096696",1832,"DSP","DSP","","6",7541617,7586714,"protein_coding"
"3460","200607_s_at","200607_s_at","ENSG00000164754",5885,"RAD21","RAD21","","8",116845934,116874776,"protein_coding"
"3461","200608_s_at","200608_s_at","ENSG00000164754",5885,"RAD21","RAD21","","8",116845934,116874776,"protein_coding"
"1297","200609_s_at","200609_s_at","ENSG00000071127",9948,"WDR1","WDR1","","4",10074339,10116949,"protein_coding"
"3760","200610_s_at","200610_s_at","ENSG00000206885",654321,"SNORA75","SNORA75","","2",231455800,231455936,"snoRNA"
"1298","200611_s_at","200611_s_at","ENSG00000071127",9948,"WDR1","WDR1","","4",10074339,10116949,"protein_coding"
"1751","200612_s_at","200612_s_at","ENSG00000006125",163,"AP2B1","AP2B1","","17",35578046,35726413,"protein_coding"
"5170","200613_at","200613_at","ENSG00000161203",1173,"AP2M1","AP2M1","","3",184174689,184184214,"protein_coding"
"2334","200614_at","200614_at","ENSG00000141367",1213,"CLTC","CLTC","","17",59619689,59696956,"protein_coding"
"1752","200615_s_at","200615_s_at","ENSG00000006125",163,"AP2B1","AP2B1","","17",35578046,35726413,"protein_coding"
"4908","200616_s_at","200616_s_at","ENSG00000110917",9761,"MLEC","MLEC","","12",120687149,120701859,"protein_coding"
"4909","200617_at","200617_at","ENSG00000110917",9761,"MLEC","MLEC","","12",120687149,120701859,"protein_coding"
"2082","200618_at","200618_at","ENSG00000002834",3927,"LASP1","LASP1","","17",38869859,38921770,"protein_coding"
"2888","200619_at","200619_at","ENSG00000087365",10992,"SF3B2","SF3B2","","11",66050729,66069308,"protein_coding"
"3564","200620_at","200620_at","ENSG00000116209",9528,"TMEM59","TMEM59","","1",54026681,54053504,"protein_coding"
"5419","200621_at","200621_at","ENSG00000159176",1465,"CSRP1","CSRP1","","1",201483530,201509456,"protein_coding"
"2306","200622_x_at","200622_x_at","ENSG00000160014",808,"CALM3","CALM3","","19",46601074,46610782,"protein_coding"
"2307","200623_s_at","200623_s_at","ENSG00000160014",808,"CALM3","CALM3","","19",46601074,46610782,"protein_coding"
"2687","200624_s_at","200624_s_at","ENSG00000280987",9782,"MATR3","","","5",139273752,139331671,"protein_coding"
"4940","200625_s_at","200625_s_at","ENSG00000131236",10487,"CAP1","CAP1","","1",40040233,40072649,"protein_coding"
"2688","200626_s_at","200626_s_at","ENSG00000280987",9782,"MATR3","","","5",139273752,139331671,"protein_coding"
"3905","200627_at","200627_at","ENSG00000110958",10728,"PTGES3","PTGES3","","12",56663341,56688408,"protein_coding"
"1094","200628_s_at","200628_s_at","ENSG00000140105",7453,"WARS1","WARS1","","14",100333790,100376805,"protein_coding"
"1093","200629_at","200629_at","ENSG00000140105",7453,"WARS1","WARS1","","14",100333790,100376805,"protein_coding"
"3990","200630_x_at","200630_x_at","ENSG00000119335",6418,"SET","SET","","9",128683424,128696400,"protein_coding"
"3989","200631_s_at","200631_s_at","ENSG00000119335",6418,"SET","SET","","9",128683424,128696400,"protein_coding"
"2335","200632_s_at","200632_s_at","ENSG00000104419",10397,"NDRG1","NDRG1","","8",133237175,133302022,"protein_coding"
"5201","200633_at","200633_at","ENSG00000170315",7314,"UBB","UBB","","17",16380798,16382745,"protein_coding"
"5344","200634_at","200634_at","ENSG00000108518",5216,"PFN1","PFN1","","17",4945652,4949061,"protein_coding"
"2587","200635_s_at","200635_s_at","ENSG00000142949",5792,"PTPRF","PTPRF","","1",43525187,43623666,"protein_coding"
"2585","200636_s_at","200636_s_at","ENSG00000142949",5792,"PTPRF","PTPRF","","1",43525187,43623666,"protein_coding"
"2586","200637_s_at","200637_s_at","ENSG00000142949",5792,"PTPRF","PTPRF","","1",43525187,43623666,"protein_coding"
"1319","200638_s_at","200638_s_at","ENSG00000164924",7534,"YWHAZ","YWHAZ","","8",100916523,100953388,"protein_coding"
"1317","200639_s_at","200639_s_at","ENSG00000164924",7534,"YWHAZ","YWHAZ","","8",100916523,100953388,"protein_coding"
"1316","200640_at","200640_at","ENSG00000164924",7534,"YWHAZ","YWHAZ","","8",100916523,100953388,"protein_coding"
"855","200641_s_at","200641_s_at","ENSG00000229932",NA,"YWHAZP3","YWHAZP3","","10",23136924,23137661,"processed_pseudogene"
"1028","200642_at","200642_at","ENSG00000142168",6647,"SOD1","SOD1","","21",31659666,31668931,"protein_coding"
"5048","200643_at","200643_at","ENSG00000115677",3069,"HDLBP","HDLBP","","2",241227264,241317061,"protein_coding"
"4830","200644_at","200644_at","ENSG00000175130",NA,"MARCKSL1","MARCKSL1","","1",32333839,32336233,"protein_coding"
"5101","200645_at","200645_at","ENSG00000170296",11337,"GABARAP","GABARAP","","17",7240008,7242449,"protein_coding"
"2574","200646_s_at","200646_s_at","ENSG00000104805",4924,"NUCB1","NUCB1","","19",48900312,48923372,"protein_coding"
"2808","200647_x_at","200647_x_at","ENSG00000205609",728689,"EIF3CL","EIF3CL","","16",28379579,28403841,"protein_coding"
"4180","200648_s_at","200648_s_at","ENSG00000135821",2752,"GLUL","GLUL","","1",182378098,182392206,"protein_coding"
"2573","200649_at","200649_at","ENSG00000104805",4924,"NUCB1","NUCB1","","19",48900312,48923372,"protein_coding"
"648","200650_s_at","200650_s_at","ENSG00000288299",3939,"LDHA","LDHA","","CHR_HG2111_PATCH",18397186,18411051,"protein_coding"
"4112","200651_at","200651_at","ENSG00000204628",10399,"RACK1","RACK1","","5",181236897,181248096,"protein_coding"
"4141","200652_at","200652_at","ENSG00000163479",6746,"SSR2","SSR2","","1",156009048,156020951,"protein_coding"
"3502","200653_s_at","200653_s_at","ENSG00000198668",801,"CALM1","CALM1","","14",90396502,90408268,"protein_coding"
"4850","200654_at","200654_at","ENSG00000185624",5034,"P4HB","P4HB","","17",81843159,81860856,"protein_coding"
"3503","200655_s_at","200655_s_at","ENSG00000198668",801,"CALM1","CALM1","","14",90396502,90408268,"protein_coding"
"4851","200656_s_at","200656_s_at","ENSG00000185624",5034,"P4HB","P4HB","","17",81843159,81860856,"protein_coding"
"3243","200657_at","200657_at","ENSG00000005022",292,"SLC25A5","SLC25A5","","X",119468422,119471396,"protein_coding"
"5365","200658_s_at","200658_s_at","ENSG00000167085",5245,"PHB","PHB","","17",49404049,49414905,"protein_coding"
"5364","200659_s_at","200659_s_at","ENSG00000167085",5245,"PHB","PHB","","17",49404049,49414905,"protein_coding"
"5330","200660_at","200660_at","ENSG00000163191",6282,"S100A11","S100A11","","1",152032506,152047907,"protein_coding"
"1414","200661_at","200661_at","ENSG00000064601",5476,"CTSA","CTSA","","20",45890144,45898949,"protein_coding"
"3627","200662_s_at","200662_s_at","ENSG00000173726",9804,"TOMM20","TOMM20","","1",235109341,235128837,"protein_coding"
"3864","200663_at","200663_at","ENSG00000135404",967,"CD63","CD63","","12",55725323,55729707,"protein_coding"
"3253","200664_s_at","200664_s_at","ENSG00000132002",3337,"DNAJB1","DNAJB1","","19",14514769,14560391,"protein_coding"
"3464","200665_s_at","200665_s_at","ENSG00000113140",6678,"SPARC","SPARC","","5",151661096,151686975,"protein_coding"
"3254","200666_s_at","200666_s_at","ENSG00000132002",3337,"DNAJB1","DNAJB1","","19",14514769,14560391,"protein_coding"
"3876","200667_at","200667_at","ENSG00000109332",7323,"UBE2D3","UBE2D3","","4",102794383,102868896,"protein_coding"
"3875","200668_s_at","200668_s_at","ENSG00000109332",7323,"UBE2D3","UBE2D3","","4",102794383,102868896,"protein_coding"
"3877","200669_s_at","200669_s_at","ENSG00000109332",7323,"UBE2D3","UBE2D3","","4",102794383,102868896,"protein_coding"
"NA","200670_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1875","200671_s_at","200671_s_at","ENSG00000115306",6711,"SPTBN1","SPTBN1","","2",54456317,54671446,"protein_coding"
"1876","200672_x_at","200672_x_at","ENSG00000115306",6711,"SPTBN1","SPTBN1","","2",54456317,54671446,"protein_coding"
"1992","200673_at","200673_at","ENSG00000068697",9741,"LAPTM4A","LAPTM4A","","2",20032650,20051628,"protein_coding"
"1481","200674_s_at","200674_s_at","ENSG00000219747",NA,"RPL32P16","RPL32P16","","6",151099529,151099933,"processed_pseudogene"
"5129","200675_at","200675_at","ENSG00000110651",975,"CD81","CD81","","11",2376177,2397397,"protein_coding"
"2135","200676_s_at","200676_s_at","ENSG00000185651",7332,"UBE2L3","UBE2L3","","22",21549447,21624034,"protein_coding"
"862","200677_at","200677_at","ENSG00000183255",754,"PTTG1IP","PTTG1IP","","21",44849585,44873903,"protein_coding"
"5047","200678_x_at","200678_x_at","ENSG00000030582",2896,"GRN","GRN","","17",44345246,44353106,"protein_coding"
"341","200679_x_at","200679_x_at","ENSG00000189403",3146,"HMGB1","HMGB1","","13",30456704,30617597,"protein_coding"
"340","200680_x_at","200680_x_at","ENSG00000189403",3146,"HMGB1","HMGB1","","13",30456704,30617597,"protein_coding"
"1888","200681_at","200681_at","ENSG00000124767",2739,"GLO1","GLO1","","6",38675925,38703145,"protein_coding"
"338","200682_s_at","200682_s_at","ENSG00000236444",171222,"UBE2L5","UBE2L5","","13",30422488,30429758,"protein_coding"
"2133","200683_s_at","200683_s_at","ENSG00000185651",7332,"UBE2L3","UBE2L3","","22",21549447,21624034,"protein_coding"
"2132","200684_s_at","200684_s_at","ENSG00000185651",7332,"UBE2L3","UBE2L3","","22",21549447,21624034,"protein_coding"
"5484","200685_at","200685_at","ENSG00000116754",9295,"SRSF11","SRSF11","","1",70205682,70253052,"protein_coding"
"5483","200686_s_at","200686_s_at","ENSG00000116754",9295,"SRSF11","SRSF11","","1",70205682,70253052,"protein_coding"
"3000","200687_s_at","200687_s_at","ENSG00000189091",NA,"SF3B3","SF3B3","","16",70523791,70577670,"protein_coding"
"2999","200688_at","200688_at","ENSG00000189091",NA,"SF3B3","SF3B3","","16",70523791,70577670,"protein_coding"
"1442","200689_x_at","200689_x_at","ENSG00000254772",NA,"EEF1G","EEF1G","","11",62559596,62574086,"protein_coding"
"3431","200690_at","200690_at","ENSG00000113013",3313,"HSPA9","HSPA9","","5",138553756,138575675,"protein_coding"
"3432","200691_s_at","200691_s_at","ENSG00000113013",3313,"HSPA9","HSPA9","","5",138553756,138575675,"protein_coding"
"3433","200692_s_at","200692_s_at","ENSG00000113013",3313,"HSPA9","HSPA9","","5",138553756,138575675,"protein_coding"
"1350","200693_at","200693_at","ENSG00000134308",10971,"YWHAQ","YWHAQ","","2",9583967,9630997,"protein_coding"
"238","200694_s_at","200694_s_at","ENSG00000273761",NA,"DDX24","DDX24","","CHR_HSCHR14_7_CTG1",94050920,94081245,"protein_coding"
"1768","200695_at","200695_at","ENSG00000105568",5518,"PPP2R1A","PPP2R1A","","19",52190048,52229518,"protein_coding"
"2890","200696_s_at","200696_s_at","ENSG00000148180",2934,"GSN","GSN","","9",121207794,121332843,"protein_coding"
"2861","200697_at","200697_at","ENSG00000156515",3098,"HK1","HK1","","10",69269984,69401884,"protein_coding"
"3844","200698_at","200698_at","ENSG00000136240",11014,"KDELR2","KDELR2","","7",6445953,6484190,"protein_coding"
